Source,Name,RSS feed URLs (where available),Type,Associated Twitter Handle,Associated Publisher,Text Aliases,Tags
http://www.wam.ae,Emirates News Agency,,News Source,@WAMNEWS_ENG,Emirates News Agency,,Referring|Wire|MENA
https://www.enlacejudio.com,Enlace Judio,,News Source,@enlacejudio,Enlace Judio,,Referring|Jewish|NAmerica
https://epoca.globo.com,Época,,News Source,@RevistaEpoca,Época,,Referring|International|LAmerica
https://www.eternitynews.com.au,Eternity News,,News Source,@EternityNews,Eternity News,,Referring|Christian|Oceania
https://erlc.com,Ethics and Religious Liberty Commission,,News Source,@ERLC,Ethics and Religious Liberty Commission,,Referring|Christian|NAmerica
https://eur-lex.europa.eu/homepage.html,EUR-lex,,News Source,@EURLex,EUR-lex,,Referring|International|Europe
https://www.euronews.com,EuroNews,,News Source,@euronews,EuroNews,,Referring|International|Europe
https://www.europapress.es,Europa Press,,News Source,@europapress,Europa Press,,Referring|International|Europe
http://evangelicalfocus.com,Evangelical Focus,,News Source,@Evan_Focus,Evangelical Focus,,Referring|Christian|Europe
https://www.faithtoday.ca,Faith Today,,News Source,@FaithTodayEFC,Faith Today,,Referring|Christian|NAmerica
https://www.famigliacristiana.it,Famiglia Cristiana,,News Source,@fam_cristiana,Famiglia Cristiana,,Referring|International|Europe
http://www.farsnews.ir,FARS news agency,,News Source,@EnglishFars,FARS news agency,,Referring|Wire|MENA
http://www.fananews.com,Federation of Arab News Agencies,,News Source,,Federation of Arab News Agencies,,Referring|Wire|MENA
https://www.ft.com,Financial Times,,News Source,@FT,Financial Times, ,center|Referring|International|Europe
www.focus.de,Focus,,News Source,@focusonline,Focus,,Referring|International|Europe
https://www.focusonthefamily.com,Focus on the Family,,News Source,@FocusFamily,Focus on the Family,,Referring|Christian|NAmerica
www.fokus.se,Fokus,,News Source,@FokusRedaktion,Fokus,,Referring|International|Europe
https://www.folha.uol.com.br,Folha de Sao Paulo,,News Source,@folha,Folha de Sao Paulo,,Referring|International|LAmerica
http://www.foxnews.com,Fox News,,News Source,@FoxNews,Fox News,,right-center|Referring|International|NAmerica
https://www.fr.de,Frankfurter Rundschau,,News Source,@FRlokal,Frankfurter Rundschau,,Referring|International|Europe
https://frontline.thehindu.com,Frontline,,News Source,@frontline_india,Frontline,,Referring|International|Asia
https://gaceta.es,Gaceta,,News Source,@gaceta_es,Gaceta,,Referring|International|Europe
https://www.goldcoastbulletin.com.au/,Gold Coast Bulletin,,News Source,@GCBulletin,Gold Coast Bulletin,,Referring|International|Oceania
http://www.gooieneemlander.nl,Goo ie Eneemlander,,News Source,@gooieneemlander,Goo ie Eneemlander,,Referring|International|Europe
https://goodnewsunlimited.com,Good News Unlimited,,News Source,@GoodNewsUnlimit,Good News Unlimited,,Referring|Christian|Oceania
https://www.mlive.com/grand-rapids-muskegon/,Grand Rapids Press,,News Source,@MLive,Grand Rapids Press,,Referring|International|NAmerica
https://www.guelphmercury.com,Guelph Mercury,,News Source,@MercuryTribune,Guelph Mercury,,Referring|International|NAmerica
https://www.gulf-insider.com,Gulf Insider,,News Source,@GulfInsider,Gulf Insider,,Referring|International|NAmerica
https://gulfnews.com,Gulf News,,News Source,@gulf_news,Gulf News,,Referring|International|MENA
https://www.gulf-times.com/,Gulf Times,,News Source,@GulfTimes_Qatar,Gulf Times,,Referring|International|MENA
https://www.gulftoday.ae/,Gulf Today,,news Source,@gulftoday,Gulf Today,,Referring|International|MENA
